"id,",score,round,plays,discards,action_history_length,nodes_expanded,runtime,win
0,292,2,12,8,125,482247,25.5529,False
1,303,1,8,8,98,381603,24.1214,False
2,288,2,12,7,119,460426,23.8254,False
3,272,1,7,7,88,350118,14.3802,False
4,196,1,8,6,86,327083,14.4268,False
5,204,1,8,5,80,314922,12.6858,False
6,180,1,8,5,81,316913,13.6142,False
7,187,1,7,7,88,345334,14.085,False
8,258,2,11,7,115,451164,23.0341,False
9,371,1,8,6,86,343151,14.0697,False
10,252,1,7,8,92,339321,15.6259,False
11,235,1,8,8,100,379530,17.6861,False
12,272,2,12,9,129,487443,25.8961,False
13,236,0,4,4,49,197755,6.6179,False
14,260,1,7,8,93,336943,16.0204,False
15,231,2,12,10,138,507881,26.5044,False
16,444,1,8,8,100,384862,18.8632,False
17,184,1,6,8,88,314352,13.5755,False
18,204,0,4,4,48,196948,7.0614,False
19,299,2,12,10,139,539656,27.9796,False
20,220,1,7,6,80,335105,14.6198,False
21,260,1,8,8,100,356988,15.9412,False
22,252,1,8,5,80,321432,14.2474,False
23,328,2,11,11,139,526872,27.7138,False
24,390,2,11,12,143,524404,30.5713,False
25,460,2,12,9,132,504138,25.5427,False
26,223,0,4,4,49,177411,6.3108,False
27,272,1,7,8,94,359401,15.6543,False
28,352,1,8,6,88,346738,15.3116,False
29,260,1,8,8,100,363913,16.0961,False
30,240,3,16,13,184,691380,45.0881,False
31,219,1,7,6,80,335966,13.8398,False
32,347,1,7,8,92,345632,15.4152,False
33,224,0,4,4,49,199176,6.4815,False
34,232,1,8,7,93,349725,15.6398,False
35,268,1,7,7,87,335901,13.3588,False
36,334,1,8,8,97,358402,15.4214,False
37,268,1,7,6,79,318397,12.3265,False
38,272,1,8,8,100,357810,17.0872,False
39,330,2,11,10,133,507458,27.3318,False
40,320,1,8,6,88,339216,13.7389,False
41,291,1,7,6,82,317591,12.4438,False
42,203,2,11,6,108,422117,20.7894,False
43,241,1,8,8,100,392452,17.0448,False
44,309,1,7,8,94,385738,17.6333,False
45,184,1,8,4,74,300831,12.4602,False
46,188,1,8,8,98,374359,17.2576,False
47,252,2,12,12,150,573578,33.0847,False
48,247,1,7,6,82,317415,12.252,False
49,259,1,8,6,87,344433,14.352,False
50,403,2,12,7,121,457634,23.4977,False
51,228,0,4,4,49,192561,6.1464,False
52,228,1,8,5,82,311311,12.083,False
53,215,1,8,6,87,329830,14.2164,False
54,276,1,8,8,100,365385,17.5655,False
55,272,1,8,5,80,307587,12.1034,False
56,298,1,8,5,81,324455,13.6834,False
57,420,1,7,8,94,337749,16.244,False
58,230,0,4,4,49,192561,6.5362,False
59,403,1,8,4,76,304431,16.901,False
60,280,2,12,8,127,477821,23.8981,False
61,199,1,8,5,81,324452,13.7487,False
62,384,1,8,5,82,321320,13.9015,False
63,278,1,8,8,97,390615,17.567,False
64,396,1,8,8,100,357794,16.2252,False
65,305,1,8,6,86,335471,13.9133,False
66,223,1,8,6,88,347087,14.5217,False
67,427,1,8,7,91,345335,15.1339,False
68,304,1,8,8,96,377199,16.3877,False
69,223,2,12,9,133,491880,24.0569,False
70,231,0,4,4,49,177411,5.7558,False
71,211,0,4,4,49,187799,6.0215,False
72,260,1,7,4,68,264707,9.8266,False
73,287,2,12,7,119,453729,20.6536,False
74,321,1,8,8,97,380700,16.5965,False
75,287,0,4,4,49,187799,6.4491,False
76,192,1,6,8,88,339246,14.7553,False
77,304,1,8,5,82,303624,12.6908,False
78,204,2,12,9,131,503896,22.7601,False
79,266,1,8,5,81,312067,13.2725,False
80,232,1,8,7,94,366740,15.798,False
81,224,1,8,6,88,324064,13.5992,False
82,279,1,8,4,76,283102,10.6792,False
83,288,1,7,7,88,351945,14.0572,False
84,229,0,4,4,49,177411,5.8267,False
85,280,0,4,4,49,192561,6.5952,False
86,252,1,8,5,82,318706,12.4721,False
87,249,2,12,11,145,561093,23.593,False
88,192,1,7,6,81,323501,11.8205,False
89,264,2,10,8,112,445339,16.9435,False
90,244,1,6,7,82,324789,11.8253,False
91,464,2,12,9,131,509820,19.8082,False
92,346,1,7,5,75,303011,10.7275,False
93,172,1,8,4,76,283098,9.9507,False
94,398,2,12,6,113,448032,16.5029,False
95,256,1,8,8,98,370822,13.4085,False
96,196,2,11,7,115,428343,16.0863,False
97,204,1,7,6,80,314061,10.7395,False
98,298,1,8,8,100,370156,13.1264,False
99,363,1,8,6,87,344429,12.1066,False
