"id,",score,round,plays,discards,action_history_length,nodes_expanded,runtime,win
0,271,0,4,4,33,45632230,1402.6573,False
1,212,0,4,4,29,40462687,1178.0799,False
2,97,0,4,4,25,39221951,1124.4696,False
3,178,1,8,8,56,78149025,2817.7797,False
4,158,0,4,4,26,38680655,1120.2091,False
5,163,0,4,4,28,39736041,1146.5614,False
6,138,0,4,4,29,40425311,1198.3615,False
7,206,1,8,8,60,83039271,3074.1646,False
8,164,1,8,8,62,86074167,3335.2371,False
9,143,0,4,4,27,38101983,1086.2861,False
10,375,1,8,8,66,89868093,3486.7932,False
11,106,0,4,4,24,37625269,1042.3642,False
12,183,0,4,4,27,40277337,1182.5052,False
13,235,0,4,4,29,43210687,1261.7968,False
14,161,0,4,4,27,38101983,1108.8814,False
15,163,0,4,4,28,41003983,1180.6078,False
16,271,1,8,8,59,82759883,3158.6093,False
17,228,1,8,8,62,86062301,3265.6417,False
18,242,0,4,4,28,39430587,1158.7159,False
19,265,0,4,4,30,41774516,1224.1667,False
20,239,0,4,4,31,42682548,1280.7471,False
21,250,0,4,4,33,45607237,1355.091,False
22,192,1,8,8,57,80069891,3014.3233,False
23,160,0,4,4,28,39736041,1146.4909,False
24,178,0,4,4,29,40462687,1202.6164,False
25,144,0,4,4,26,38643279,1090.4255,False
26,256,0,4,4,28,45154883,1350.6479,False
27,192,0,4,4,27,40314713,1154.1684,False
28,97,1,8,8,55,74662754,2726.3493,False
29,215,0,4,4,31,43358661,1278.5905,False
30,288,1,8,8,60,84934313,3096.5024,False
31,130,0,4,4,27,38101983,1118.8129,False
32,284,0,4,4,29,40425311,1169.7711,False
33,103,1,8,8,59,78885430,3036.4203,False
34,105,1,8,8,58,78738718,2970.6089,False
35,199,1,8,8,58,84993648,3175.7436,False
36,140,1,8,8,58,78622140,2928.4219,False
37,155,0,4,4,27,42453971,1252.2518,False
38,331,1,8,8,61,82930116,3153.633,False
39,155,0,4,4,28,41003983,1175.9709,False
40,248,0,4,4,29,44813395,1308.3967,False
41,155,0,4,4,26,40893385,1163.0774,False
42,187,0,4,4,28,41003983,1207.023,False
43,235,0,4,4,31,44961369,1327.4433,False
44,167,0,4,4,28,41614005,1195.3184,False
45,175,0,4,4,29,40425311,1193.9498,False
46,117,2,12,12,90,122008083,5333.7291,False
47,180,0,4,4,29,42638041,1273.1178,False
48,167,1,8,8,58,82634652,3038.6128,False
49,87,2,12,12,89,122635322,5264.3942,False
50,94,1,8,8,59,79919343,2933.4722,False
51,439,1,8,8,70,92975212,3781.781,False
52,138,0,4,4,26,36505301,1048.8835,False
53,191,0,4,4,29,40462687,1169.9927,False
54,114,1,8,8,59,79198472,2946.525,False
55,347,1,8,8,62,88184959,3287.7692,False
56,154,0,4,4,29,40350559,1154.5106,False
57,388,1,8,8,67,89991303,3397.0019,False
58,239,0,4,4,27,37804593,1093.1362,False
59,167,0,4,4,26,38680655,1114.8587,False
60,178,1,8,8,61,86282195,3208.488,False
61,140,0,4,4,26,38680655,1114.0849,False
62,167,1,8,8,60,83118679,3098.0853,False
63,308,1,8,8,68,91122059,3451.8615,False
64,105,0,4,4,26,36467925,1043.335,False
65,191,0,4,4,29,42638041,1236.8655,False
66,180,0,4,4,29,40425311,1160.2338,False
67,103,0,4,4,27,38101983,1108.4153,False
68,260,1,8,8,62,89147914,3261.5738,False
69,249,1,8,8,65,86048507,3165.2323,False
70,86,0,4,4,26,38643279,1081.7772,False
71,168,1,8,8,57,77889976,2737.049,False
72,98,0,4,4,27,38101983,1103.3943,False
73,192,0,4,4,26,40893385,1158.2256,False
74,185,0,4,4,29,42600665,1262.1936,False
75,151,0,4,4,24,39600815,1131.3248,False
76,144,1,8,8,58,82096058,2801.6054,False
77,126,0,4,4,26,40856009,1182.7258,False
78,158,0,4,4,29,40425311,1192.9474,False
79,124,1,8,8,59,80215214,2805.0983,False
80,130,0,4,4,27,40277337,1174.2782,False
81,74,0,4,4,26,36467925,1014.5682,False
82,170,1,8,8,61,83693848,2958.9864,False
83,171,0,4,4,29,40360500,1177.5431,False
84,166,0,4,4,29,40425311,1173.2876,False
85,276,0,4,4,30,47478211,1378.7326,False
86,247,0,4,4,29,42525913,1206.3607,False
87,159,0,4,4,29,40350559,1139.5501,False
88,156,0,4,4,28,43104585,1209.4027,False
89,269,1,8,8,60,85866652,2792.2193,False
90,227,1,8,8,65,87642427,2922.5727,False
91,415,1,8,8,59,84643492,2732.1372,False
92,98,0,4,4,27,38101983,1070.3559,False
93,167,1,8,8,61,87536520,2944.0159,False
94,224,0,4,4,26,38680655,1051.7264,False
95,130,0,4,4,26,38680655,1042.149,False
96,183,0,4,4,29,44813395,1236.3127,False
97,264,0,4,4,30,41146073,1140.5651,False
98,67,1,8,8,60,80898281,2563.5964,False
99,144,2,12,12,92,127020710,4166.2386,False
