"id,",score,round,plays,discards,action_history_length,nodes_expanded,runtime,win
0,114,0,4,4,26,36505301,1148.7426,False
1,174,0,4,4,26,36467925,1180.248,False
2,298,0,4,4,29,41035333,1327.8161,False
3,189,0,4,4,29,40425311,1329.5088,False
4,204,0,4,4,30,42059369,1365.6263,False
5,236,0,4,4,28,45154883,1482.6901,False
6,319,1,8,8,64,90141759,3982.0701,False
7,99,0,4,4,27,38101983,1179.3233,False
8,214,0,4,4,29,40351839,1286.706,False
9,124,0,4,4,25,41197497,1269.5741,False
10,244,0,4,4,32,44307945,1452.5761,False
11,134,0,4,4,27,40277337,1251.6679,False
12,392,2,12,12,96,133163637,6392.9603,False
13,247,0,4,4,32,48658653,1573.5432,False
14,258,0,4,4,29,41035333,1322.3039,False
15,191,0,4,4,28,41003983,1275.8978,False
16,119,0,4,4,27,38101983,1206.9539,False
17,140,0,4,4,27,41470527,1268.8207,False
18,149,0,4,4,27,38101983,1203.3058,False
19,204,1,8,8,65,87760340,3578.9788,False
20,156,0,4,4,28,38828629,1232.3088,False
21,191,0,4,4,29,40425311,1268.7069,False
22,288,0,4,4,32,44309225,1452.8528,False
23,298,1,8,8,57,76948122,2973.5327,False
24,211,0,4,4,29,40425311,1297.5974,False
25,198,0,4,4,31,42675167,1351.9205,False
26,196,1,8,8,58,78585628,3053.9113,False
27,227,0,4,4,31,42673887,1390.8679,False
28,72,0,4,4,26,36467925,1118.6388,False
29,216,1,6,8,55,69922854,2927.633,False
30,175,1,8,8,57,80142572,3199.1765,False
31,279,0,4,4,28,39490500,1271.6674,False
32,236,0,4,4,31,43283909,1382.5097,False
33,77,0,4,4,25,37046597,1150.1345,False
34,167,1,8,8,55,76870667,2960.0281,False
35,174,0,4,4,27,40277337,1247.3812,False
36,133,0,4,4,25,39221951,1235.32,False
37,141,1,8,8,63,84833139,3496.3973,False
38,217,0,4,4,29,40425311,1294.7299,False
39,84,0,4,4,25,37046597,1118.6858,False
40,106,1,8,8,60,83232933,3403.4673,False
41,299,1,8,8,62,84513653,3401.2566,False
42,300,1,8,8,60,82774750,3281.3948,False
43,108,1,8,8,58,78400762,3147.8881,False
44,127,2,12,12,92,126939552,5559.1784,False
45,202,2,12,12,98,135579930,5888.6405,False
46,175,1,8,8,58,79176976,3155.7761,False
47,168,0,4,4,29,41035333,1330.4615,False
48,196,0,4,4,29,40462687,1308.1218,False
49,214,0,4,4,31,42673887,1348.9699,False
50,122,2,11,12,96,125264048,5750.6626,False
51,135,0,4,4,27,38101983,1208.2829,False
52,228,0,4,4,31,45534015,1503.3312,False
53,167,1,8,8,59,82564921,3473.2647,False
54,215,1,8,8,60,83117134,3385.0785,False
55,151,0,4,4,26,38680655,1186.5167,False
56,188,0,4,4,27,40314713,1256.2986,False
57,188,0,4,4,29,42600665,1372.0694,False
58,163,0,4,4,30,42334625,1340.9327,False
59,137,0,4,4,25,37046597,1115.8774,False
60,119,0,4,4,26,36505301,1148.7252,False
61,102,1,8,8,58,78771765,3120.6609,False
62,212,0,4,4,31,43269293,1410.1078,False
63,163,0,4,4,27,38101983,1205.3174,False
64,237,1,8,8,64,85573998,3379.04,False
65,251,0,4,4,30,42059369,1359.706,False
66,252,0,4,4,27,37804593,1165.102,False
67,122,0,4,4,28,38716501,1191.7623,False
68,224,1,8,8,61,82881618,3153.7279,False
69,196,0,4,4,27,41582655,1315.5584,False
70,138,0,4,4,26,36505301,1137.1977,False
71,236,1,8,8,63,87128747,3265.9963,False
72,240,0,4,4,31,42786015,1358.3148,False
73,171,0,4,4,26,38680655,1183.1502,False
74,171,0,4,4,27,42452691,1319.7962,False
75,168,1,8,8,59,86956265,3104.3322,False
76,170,0,4,4,31,44775769,1446.2867,False
77,208,0,4,4,28,41003983,1301.9518,False
78,130,0,4,4,28,38716501,1189.4663,False
79,90,0,4,4,24,37625269,1154.2238,False
80,151,0,4,4,30,41763259,1311.3223,False
81,108,0,4,4,26,38643279,1176.358,False
82,182,0,4,4,28,41003983,1275.0978,False
83,212,0,4,4,32,44382697,1410.2084,False
84,99,1,8,8,61,82381091,2770.3122,False
85,219,1,8,8,63,84949375,2855.7384,False
86,137,1,6,8,53,68867468,2395.5247,False
87,123,0,4,4,28,41539253,1258.2064,False
88,187,1,8,8,58,83634265,2671.917,False
89,256,0,4,4,31,47136723,1407.9683,False
90,268,0,4,4,29,42638041,1262.7134,False
91,264,0,4,4,32,46558051,1384.2075,False
92,216,0,4,4,30,43937333,1279.5322,False
93,122,0,4,4,27,38101983,1085.6873,False
94,184,0,4,4,28,39736041,1137.6574,False
95,175,0,4,4,29,40426591,1139.3749,False
96,286,1,8,8,59,79883610,2355.6801,False
97,224,2,12,12,93,130540786,3981.1187,False
98,180,0,4,4,28,39736041,1076.2506,False
99,143,0,4,4,29,40350559,1072.3811,False
